Client,Targetting,Radius,Exclude
Flow-Tech,"Elkhart, IN",,Exclude
Protocol ,"Atlantic County, New Jersey, United States",,
Protocol ,"Essex County, New Jersey, United States",,
Protocol ,"Hunterdon County, New Jersey, United States",,
Protocol ,"Morris County, New Jersey, United States",,
Protocol ,"Ocean County, New Jersey, United States",,
Protocol ,"Passaic County, New Jersey, United States",,
Protocol ,"Somerset County, New Jersey, United States",,
Protocol ,"Sussex County, New Jersey, United States",,
Protocol ,"Union County, New Jersey, United States",,
Protocol ,"Warren County, New Jersey, United States",,
Protocol ,"Monmouth County, New Jersey",,
Protocol ,"Atlantic City, NJ",20mi,
Glamorgan,"213 Fellows Rd, Mechanicville, NY 12118",30mi,
Glamorgan,"43.274396,-73.634510",10mi,
NorthWest Experts,"1020 S 344th St, Federal Way, WA 98003",13mi,
J&W Heating & Air,"5011 Sunbeam Rd, Jacksonville, FL 32257",50mi,
Air Control,19810,30mi,
Air Control,Exclude: PA,,
Royal ,"Baileyville, TX",190mi,
Royal ,"Brownsville, TX",,EXCLUDE
Certified Comfort,"Castle Pines, CO",12mi,
Certified Comfort,"Columbine, CO",5mi,
Certified Comfort,"Foxfield, CO",5mi,
Certified Comfort,"Greenwood Village, CO",3mi,
Certified Comfort,"80012, Colorado",,EXCLUDE
Certified Comfort,"Arvada, Colorado",,EXCLUDE
Integrity Heating & Air,"21601, Maryland",,
Integrity Heating & Air,"21607, Maryland",,
Integrity Heating & Air,"21610, Maryland",,
Integrity Heating & Air,"21613, Maryland",,
Integrity Heating & Air,"21620, Maryland",,
Integrity Heating & Air,"21622, Maryland",,
Integrity Heating & Air,"21623, Maryland",,
Integrity Heating & Air,"21625, Maryland",,
Integrity Heating & Air,"21626, Maryland",,
Integrity Heating & Air,"21628, Maryland",,
Integrity Heating & Air,"21631, Maryland",,
Integrity Heating & Air,"21632, Maryland",,
Integrity Heating & Air,"21636, Maryland",,
Integrity Heating & Air,"21638, Maryland",,
Integrity Heating & Air,"21639, Maryland",,
Integrity Heating & Air,"21640, Maryland",,
Integrity Heating & Air,"21643, Maryland",,
Integrity Heating & Air,"21644, Maryland",,
Integrity Heating & Air,"21645, Maryland",,
Integrity Heating & Air,"21648, Maryland",,
Integrity Heating & Air,"21649, Maryland",,
Integrity Heating & Air,"21650, Maryland",,
Integrity Heating & Air,"21651, Maryland",,
Integrity Heating & Air,"21654, Maryland",,
Integrity Heating & Air,"21655, Maryland",,
Integrity Heating & Air,"21657, Maryland",,
Integrity Heating & Air,"21658, Maryland",,
Integrity Heating & Air,"21659, Maryland",,
Integrity Heating & Air,"21660, Maryland",,
Integrity Heating & Air,"21661, Maryland",,
Integrity Heating & Air,"21662, Maryland",,
Integrity Heating & Air,"21667, Maryland",,
Integrity Heating & Air,"21668, Maryland",,
Integrity Heating & Air,"21669, Maryland",,
Integrity Heating & Air,"21672, Maryland",,
Integrity Heating & Air,"21673, Maryland",,
Integrity Heating & Air,"21675, Maryland",,
Integrity Heating & Air,"21677, Maryland",,
Integrity Heating & Air,"21678, Maryland",,
Integrity Heating & Air,"21679, Maryland",,
Integrity Heating & Air,"21801, Maryland",,
Integrity Heating & Air,"21804, Maryland",,
Integrity Heating & Air,"21810, Maryland",,
Integrity Heating & Air,"21811, Maryland",,
Integrity Heating & Air,"21813, Maryland",,
Integrity Heating & Air,"21814, Maryland",,
Integrity Heating & Air,"21821, Maryland",,
Integrity Heating & Air,"21822, Maryland",,
Integrity Heating & Air,"21826, Maryland",,
Integrity Heating & Air,"21829, Maryland",,
Integrity Heating & Air,"21830, Maryland",,
Integrity Heating & Air,"21835, Maryland",,
Integrity Heating & Air,"21836, Maryland",,
Integrity Heating & Air,"21837, Maryland",,
Integrity Heating & Air,"21840, Maryland",,
Integrity Heating & Air,"21841, Maryland",,
Integrity Heating & Air,"21849, Maryland",,
Integrity Heating & Air,"21850, Maryland",,
Integrity Heating & Air,"21851, Maryland",,
Integrity Heating & Air,"21853, Maryland",,
Integrity Heating & Air,"21856, Maryland",,
Integrity Heating & Air,"21861, Maryland",,
Integrity Heating & Air,"21862, Maryland",,
Integrity Heating & Air,"21863, Maryland",,
Integrity Heating & Air,"21865, Maryland",,
Integrity Heating & Air,"21869, Maryland",,
Integrity Heating & Air,"21871, Maryland",,
Integrity Heating & Air,"21872, Maryland",,
Integrity Heating & Air,"21874, Maryland",,
Integrity Heating & Air,"21875, Maryland",,
Integrity Heating & Air,"21890, Maryland",,
Integrity Heating & Air,"21912, Maryland",,
Integrity Heating & Air,"21913, Maryland",,
Integrity Heating & Air,"21915, Maryland",,
Integrity Heating & Air,"21919, Maryland",,
Integrity Heating & Air,"21930, Maryland",,
Integrity Heating & Air,"21629, Maryland",,
Integrity Heating & Air,"21617, Maryland",,
Integrity Heating & Air,Delaware,,
Integrity Heating & Air,"Anne Arundel County, Maryland, United States",,Exclude
Integrity Heating & Air,"Prince George's County, Maryland, United States",,Exclude
Integrity Heating & Air,"Howard County, Maryland, United States",,Exclude
Integrity Heating & Air,"Montgomery County, Maryland, United States",,Exclude
Cool Cat Fence - Seattle,"Kent, WA",10mi,
Cool Cat Fence - Seattle,"Kirkland, WA",15mi,
Cool Cat Fence - Seattle,"Mill Creek, WA",7mi,
Cool Cat Fence - Portland,"Beaverton, OR",15mi,
Cool Cat Fence - Portland,"Portland, OR",18mi,
Apple Aire,"Denver, CO",55mi,
Apple Aire,"Fort Collins, CO",20mi,
Apple Aire,"Greeley, CO",30mi,
Apple Aire,Nebraska,,Exclude
Apple Aire,Utah,,Exclude
Apple Aire,Wyoming,,Exclude
Apple Aire,80614,,Exclude
Foxy Coatings (Lancaster),"40.335648,-75.926874",85mi,
Foxy Coatings (Lancaster),"Myerstown, PA",95mi,
Foxy Coatings (Lancaster),"Maryland, United States",,Exclude
Foxy Coatings (Lancaster),"New York, United States",,Exclude
Foxy Coatings (Lancaster),"Philadelphia, Pennsylvania, United States",,Exclude
Foxy Coatings (Pittsburgh),"Lyndora, Butler Township, PA",100mi,
Foxy Coatings (Pittsburgh),"Maryland, United States",,Exclude
Foxy Coatings (Pittsburgh),"Pittsburgh, Pennsylvania, United States",,Exclude
Foxy Coatings (Pittsburgh),"West Virginia, United States",,Exclude
Foxy Coatings (Pittsburgh),"New York, United States",,Exclude
Topline (Ohio),"Carroll County, Ohio, United States",,
Topline (Ohio),"Columbiana County, Ohio, United States",,
Topline (Ohio),"Harrison County, Ohio, United States",,
Topline (Ohio),"Portage County, Ohio, United States",,
Topline (Ohio),"Jefferson County, Ohio, United States",,
Topline (Ohio),"Mahoning County, Ohio, United States",,
Topline (Ohio),"Trumbull County, Ohio, United States",,
Topline (Ohio),"Wilmot, OH",60mi,
Topline (Ohio),"Hartsgrove Township, OH",35mi,
Topline (Ohio),"Norwalk, OH",18mi,
Topline (Ohio),Pennsylvania,,Exclude 
Topline (Ohio),Licking County,,Exclude
Topline (New York),"Allegany County, New York, United States",,
Topline (New York),"Broome County, New York, United States",,
Topline (New York),"Cattaraugus County, New York, United States",,
Topline (New York),"Cayuga County, New York, United States",,
Topline (New York),"Chautauqua County, New York, United States",,
Topline (New York),"Chemung County, New York, United States",,
Topline (New York),"Chenango County, New York, United States",,
Topline (New York),"Cortland County, New York, United States",,
Topline (New York),"Delaware County, New York, United States",,
Topline (New York),"Erie County, New York, United States",,
Topline (New York),"Genesee County, New York, United States",,
Topline (New York),"Jefferson County, New York, United States",,
Topline (New York),"Livingston County, New York, United States",,
Topline (New York),"Monroe County, New York, United States",,
Topline (New York),"Niagara County, New York, United States",,
Topline (New York),"Onondaga County, New York, United States",,
Topline (New York),"Ontario County, New York, United States",,
